"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,, 
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
" 
,Lorne Park Nurseries Ltd,"Colborne, ON K0K 1S0",8432-Ouvriers de pépinières et de serres,2
,Lovely Imports and Retails Ltd.,"North York, ON M3M 1A5",621-Directeurs - commerce de détail et de gros,1
,Lowell Security Inc,"Toronto, ON L6M 3Z3",114-Directeurs d'autres services administratifs,1
,LoyaltyOne Inc.,"Toronto, ON M5G 2L1","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Luminiz Inc.,"Etobicoke, ON M9V 4B7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Lundy Potato Farms Ltd,"Alliston, ON L9R 1V8",8431-Ouvriers agricoles,14
,Lutesville Farms Limited,"Waterford, ON N0E 1Y0",8431-Ouvriers agricoles,18
,M & J McElhone Farming Inc,"La Salette, ON N0E 1H0",8431-Ouvriers agricoles,35
,M & M Farms Ltd,"Leamington, ON N8H 4H3",8432-Ouvriers de pépinières et de serres,10
,M P Slegers Ltd,"Strathroy, ON N7G 3H5",8432-Ouvriers de pépinières et de serres,3
,M Putzer Hornby Nursery Ltd,"Hornby, ON L0P 1E0",8432-Ouvriers de pépinières et de serres,28
,M.A.T. Enterprises Inc.,"Schumacher, ON P0N 1G0",6311-Superviseurs des services alimentaires,2
,M.E. Andrews & Associates Limited,"Ottawa, ON K1N 6P2",2264-Inspecteurs en construction,2
,M.S.S. Machining Industries Ltd.,"Brampton, ON L6W 3N5",1221-Agents d'administration,1
,MAA Productions Inc,"Kingston, ON K7K 3M2","5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",1
,Mac1 Industries Ltd.,"Mississauga, ON L4W 2S7",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Macarons et Madeleines Inc.,"Ottawa, ON K1Y 3B6",6332-Boulangers-pâtissiers,1
,MacBury Farm Inc,"Burford, ON N0E 1A0",8431-Ouvriers agricoles,13
,Macro Moules PSK inc.,"Vaughan, ON L4K 5R2",911-Directeurs de la fabrication,1
,Macuto Nurseries,"Keswick, ON L4P 3E2",8432-Ouvriers de pépinières et de serres,5
,MAD Farms Inc,"Blenheim, ON N0P 1A0",8431-Ouvriers agricoles,7
,Mad Mexican food Products Ltd.,"Toronto, ON M6S 3Z6",6321-Chefs,1
,,,7241-Électriciens (sauf électriciens industriels et de réseaux électriques),1
,Magalas Farms Ltd,"Waterford, ON N0E 1Y0",8431-Ouvriers agricoles,1
,Magalas Produce Ltd,"Waterford, ON N0E 1Y0",8431-Ouvriers agricoles,120
,Magic BM Trading Co. Ltd,"Toronto, ON M9N 3R2",6222-Acheteurs des commerces de détail et de gros,1
,Magnum Demolition Services Inc.,"Etobicoke, ON M8Z 2G9",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
,Magri Greenhouses Inc,"Leamington, ON N8H 3V5",8432-Ouvriers de pépinières et de serres,9
,Mahadev Cuisine Inc (Mr. Sub),"Oshawa, ON L1J 5L9",631-Directeurs de la restauration et des services alimentaires,1
,Mahi Enterprise Ltd.,"Orillia, ON L3V 7P5",6311-Superviseurs des services alimentaires,1
,Maillette Holdings Inc o/a Petro Canada,"Waterloo, ON N2K 3Z2",6211-Superviseurs des ventes - commerce de détail,1
,Main Street Subs Inc.,"Port Colborne, ON L3K 3V5",631-Directeurs de la restauration et des services alimentaires,1
,Malpack Ltd,"Ajax, ON L1S 2E3",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,Mana Hospitality Holding Inc.,"Mississauga, ON L5J 2T6","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Manahree Inc,"Toronto, ON M6G 1A4",6211-Superviseurs des ventes - commerce de détail,1
,Manav Electrical Services Inc.,"Mississauga, ON L4W 1N2",7246-Installateurs et réparateurs de matériel de télécommunications,1
,Mandarin Restaurant,"Brampton, ON L6W 4S1",6311-Superviseurs des services alimentaires,1
,Manderley Turf Products Inc,"Moose Creek, ON K0C 1W0",8431-Ouvriers agricoles,4
,Mandis Inc.,"North York, ON M2H 3N3",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,3
,Mango Chutney Inc.,"Cambridge, ON N3C 4N6",6322-Cuisiniers,2
,Mantor Landscape Limited,"Toronto, ON M3J 2C6",7281-Briqueteurs-maçons,1
,Maple Cage Productions Inc.,"Toronto, ON M4M 0A1","5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",1
,Maple Crest Farms / VanHoffen Farms (1999) Ltd,"Grassie, ON L0R 1M0",8432-Ouvriers de pépinières et de serres,5
,Maple Dell Farms Llimited,"Norwich, ON N0J 1P0",8431-Ouvriers agricoles,4
,Maple Leaf Nurseries Ltd,"Jordan, ON L0R 1S0",8431-Ouvriers agricoles,10
,,,8432-Ouvriers de pépinières et de serres,56
,Maple Leaf Sports & Entertainment Partnership,"Toronto, ON M5J 2L2","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",2
,,,"513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,Maple Vacations/ 2192177 Ontario Ltd.,"Mississauga, ON L4Y 1Y6","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,Maplelife Nutrition Corporation,"Markham, ON L3R 2S2","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Mara Technologies Inc.,"Markham, ON L3S 3K8",2132-Ingénieurs mécaniciens,1
,Marazzi Canada Inc,"Toronto, ON M5R 1G4",6221-Spécialistes des ventes techniques - commerce de gros,1
,Marcel Bourdon Ltd,"Maxville, ON K0C 1T0",8431-Ouvriers agricoles,12
,Marcello's Pizzaria,"Vaughan, ON L4K 5Y6",6321-Chefs,1
,March of Dimes Canada,"Toronto, ON M4H 1A4",4215-Instructeurs pour personnes ayant une déficience,1
,Marfab Metal Products Inc.,"Concord, ON L4K 4Y2","9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",2
,Mario's Flooring Inc,"Mississauga, ON L5A 3T2",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Mark Media Corp.,"Toronto, ON M2J 1P8",2173-Ingénieurs et concepteurs en logiciel,1
,Markorios Pharma Inc,"Scarborough, ON M1S 4N8",3112-Omnipraticiens et médecins en médecine familiale,1
,Marques Gardens Ltd,"Bradford, ON L3Z 2B5",8431-Ouvriers agricoles,3
,Marquis Gardens Limited,"Concord, ON L4K 1W2",1225-Agents aux achats,1
,Marshland Gardens Ltd,"Bradford, ON L3Z 2A6",8431-Ouvriers agricoles,6
,Marston Produce Co Inc,"Langton, ON N0E 1G0",8431-Ouvriers agricoles,51
,Martec Precision Inc,"Brampton, ON L6T 5L7",7231-Machinistes et vérificateurs d'usinage et d'outillage,2
,Martin Farms Ltd,"Vineland Station, ON L0R 2E0",8432-Ouvriers de pépinières et de serres,16
,Martin Gerkes Orchards,"Toronto, ON M9R 1V6",8431-Ouvriers agricoles,10
,Martinrea International Inc.,"Vaughan, ON L4K 5B2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Marwood Bookworks Inc.,"Etobicoke, ON M9W 6L9","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Mary Goes Round Movie Inc.,"Toronto, ON M4M 2T5",5135-Acteurs et comédiens,1
,Maryat Investments Inc.,"Vaughan, ON L4K 5C3",631-Directeurs de la restauration et des services alimentaires,1
,,,6311-Superviseurs des services alimentaires,1
,Mascot Employment Agency Inc.,"Mississauga, ON L4T 1G3",1223-Agents des ressources humaines et de recrutement,1
,Masfrankc Garden Centre Inc,"Parkhill, ON N0M 2K0",8432-Ouvriers de pépinières et de serres,1
,Mastr Grow Farms Inc,"Leamington, ON N8H 4C9",8432-Ouvriers de pépinières et de serres,10
,Mastr Veggies Farms Inc,"Leamington, ON N8H 4C9",8432-Ouvriers de pépinières et de serres,16
,Mastron Enterprises Ltd,"Kingsville, ON N9Y 2E5",8432-Ouvriers de pépinières et de serres,55
,Mathematics Ltd.,"Toronto, ON M5A 1R7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",3
,Mavis Garden Supplies Ltd,"Mississauga, ON L5C 1T7",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Maxim Group General Contracting,"Gormley, ON L0H 1G0",7291-Couvreurs et poseurs de bardeaux,1
,Maxpro Management Services Ltd.,"Brampton, ON L6T 4Z5",1212-Superviseurs de commis de finance et d'assurance,1
,Maxwell Apple Orchards,"Clarksburg, ON N0H 1J0",8431-Ouvriers agricoles,19
,MC Kitchen Industrial Ltd.,"Markham, ON L3R 3L4",5242-Designers d'intérieur et décorateurs d'intérieur,1
,MCC IV Productions Inc.,"Toronto, ON M6H 0A2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,McCain Foods Limited,"Toronto, ON M5V 1K4","2123-Agronomes, conseillers et spécialistes en agriculture",1
,McCloskey International Limited,"Keene, ON K9J 0G6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,,,1225-Agents aux achats,1
,,,2232-Technologues et techniciens en génie mécanique,1
,,,7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,,7251-Plombiers,1
,McGeachy Farms 1997 Ltd,"Chatham, ON N7M 5J3",8431-Ouvriers agricoles,6
,McKeil Marine Limited,"Hamilton, ON L8L 6B6","2148-Autres ingénieurs, n.c.a.",1
,McLean Berry Farm Ltd,"Lakefield, ON K0L 2H0",8431-Ouvriers agricoles,22
,MCM Acres Ltd,"Leamington, ON N8H 4H3",8432-Ouvriers de pépinières et de serres,37
,McMaster University,"Hamilton, ON L8S 4K1",4011-Professeurs et chargés de cours au niveau universitaire,8
,McMichael Canadian Art Collection,"Kleinburg, ON L0J 1C0","511-Directeurs de bibliothèques, des archives, de musées et de galeries d'art",1
,Mcrae Imaging Inc,"Mississauga, ON L5L 5Y5",2252-Designers industriels,1
,Measurements International Ltd,"Prescott, ON K0E 1T0",2111-Physiciens et astronomes,1
,Medex Fish Importing & Exporting Co. Ltd.,"Vaughan, ON L4L 9N6",6221-Spécialistes des ventes techniques - commerce de gros,1
,Medical Care Plus Alliance Ltd.,"Vaughan, ON L4K 3B9",3112-Omnipraticiens et médecins en médecine familiale,1
,Medicap Laboratories,"Windsor, ON N8X 4L2","124-Directeurs de la publicité, du marketing et des relations publiques",1
,,,2211-Technologues et techniciens en chimie,2
,Medsana Pharmacy Ltd,"London, ON N6H 4P2",3131-Pharmaciens,1
,Meleg's Lakeview Orchard,"Kingsville, ON N9Y 2E6",8431-Ouvriers agricoles,7
,Mellohawk Associates Inc.,"Mississauga, ON L4W 4X3",1221-Agents d'administration,1
,Mels Farms Ltd,"Windham Centre, ON N0E 2A0",8432-Ouvriers de pépinières et de serres,24
,Mercer (Canada) Limited,"Toronto, ON M5J 0A8","2161-Mathématiciens, statisticiens et actuaires",1
,Merchant Link LLC,"Kanata, ON K2K 3H4",2173-Ingénieurs et concepteurs en logiciel,1
,Merchant of Tennis,"Toronto, ON M4G 3B5",9227-Surveillants dans la fabrication et le montage de produits divers,1
,Mercury Filmworks (Lion 2) Inc.,"Ottawa, ON K2E 8C3",5241-Designers graphiques et illustrateurs,1
,Mercury Filmworks (Lion) Inc.,"Ottawa, ON K2E 8C3",5241-Designers graphiques et illustrateurs,2
,Meritiwealth Inc.,"Markham, ON L3R 5J2",1114-Autres agents financiers,2
,Merrithew Holdings Ltd.,"Toronto, ON M4S 2C6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Messini Gyros & Souvlaki Ltd,"Toronto, ON M4K 1P2",6321-Chefs,1
,Metaflow Inc.,"Ottawa, ON K1P 5H9",2173-Ingénieurs et concepteurs en logiciel,1
,Metalex Inc,"Concord, ON L4K 1L7",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Metro Freightliner Hamilton Inc.,"Stoney Creek, ON L8E 2R2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",5
,Metroland Media Group Ltd.,"Toronto, ON M5E 1E6",5241-Designers graphiques et illustrateurs,1
,Meulemeester Farms Ltd,"Langton, ON N0E 1G0",8431-Ouvriers agricoles,12
,Mexican't Productions Inc.,"Toronto, ON M5S 1E4",5135-Acteurs et comédiens,1
,Meyer Service & Supply Ltd.,"Long Sault, ON K0C 1P0",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Meyers Fruit Farms Ltd,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,92
,Mezenberg Greenhouses,"Thamesville, ON N0P 2K0",8432-Ouvriers de pépinières et de serres,4
,MGA Research Corporation Canada Ltd.,"Mississauga, ON L4W 4T2",2261-Vérificateurs et essayeurs des essais non destructifs,3
,MHLA Inc.,"Toronto, ON M6J 2Z6",711-Directeurs de la construction,1
,Michael Klosler Farms Ltd,"Windham Centre, ON N0E 2A0",8431-Ouvriers agricoles,2
,,,8432-Ouvriers de pépinières et de serres,2
,Michael Nguyen Trading Group Inc.,"Toronto, ON M5E 1Y2",3012-Infirmiers autorisés et infirmiers psychiatriques autorisés,1
,Micro Computer Consulting Inc,"Mississauga, ON L4X 2V7",2282-Agents de soutien aux utilisateurs,1
,Microtherapy Inc,"Port Dover, ON N0A 1N0",2173-Ingénieurs et concepteurs en logiciel,1
,Midearth Travel Inc,"Ottawa, ON K1S 4G3","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,Miden Farm Products Co Div of Winco Canadian Gin,"Waterford, ON N0E 1Y0",8432-Ouvriers de pépinières et de serres,15
,Mid-Ontario Truck Centre,"Barrie, ON L4N 1C2","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",6
,Miles Produce Ltd,"Waterford, ON N0E 1Y0",8431-Ouvriers agricoles,54
,Milestone Tire Canada Corp.,"Scarborough, ON M1S 3A7","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,,,6222-Acheteurs des commerces de détail et de gros,1
,Millenium Printing Inc.,"Concord, ON L4K 1G4",7381-Opérateurs de presses à imprimer,1
,"Millennium Research Group, a Decision Resources Group Company","Toronto, ON M4W 3R8",2173-Ingénieurs et concepteurs en logiciel,2
,,,"4165-Recherchistes, experts-conseils et agents de programmes en politiques de la santé",1
,Miller's Bay Farm,"Lombardy, ON K0G 1L0",8431-Ouvriers agricoles,5
,Millomat Stampings Inc.,"Mississauga, ON L5T 2L2",911-Directeurs de la fabrication,1
,Milman Consulting Inc.,"Toronto, ON M3H 5Y4",1311-Techniciens en comptabilité et teneurs de livres,1
,Milton Equine Hospital,"Campbellville, ON L0P 1B0",3114-Vétérinaires,1
,"Ministry of Tourism, Government of India","Toronto, ON M4W 3B8",6552-Autres préposés aux services d'information et aux services à la clientèle,1
,Mirage Steel Limited,"Brampton, ON L6S 4K6",2251-Technologues et techniciens en architecture,1
,Mircom Technologies Ltd.,"Vaughan, ON L4K 5W3",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,Mirvish Productions,"Toronto, ON M5V 1J2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,,"5132-Chefs d'orchestre, compositeurs et arrangeurs",3
,,,5133-Musiciens et chanteurs,2
,,,5135-Acteurs et comédiens,21
,,,"5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",2
,Miss Sloane Productions Inc.,"Toronto, ON M4M 2M2","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,,"5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,,5135-Acteurs et comédiens,11
,,,5225-Techniciens en enregistrement audio et vidéo,2
,,,"5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",1
,,,6321-Chefs,1
,Mississauga College of Technology,"Mississauga, ON L5B 2N5",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,Mississauga Salt & Pepper Restaurant Inc.,"Mississauga, ON L5N 7X1",631-Directeurs de la restauration et des services alimentaires,1
,,,6322-Cuisiniers,2
,Mits Air Conditioning Inc.,"Mississauga, ON L5T 1C7",2232-Technologues et techniciens en génie mécanique,1
,Mizrachi Organization of Canada,"North York, ON M2R 3V2",5251-Athlètes,1
,MJ Drywall & Stucco Ltd.,"Stoney Creek, ON L8J 2S9",7293-Calorifugeurs,1
,MJR Contractors Ltd.,"Mississauga, ON L4Z 1C2",7271-Charpentiers-menuisiers,1
,ML Ready Mix Concrete Inc.,"Toronto, ON M8Z 1A4",7312-Mécaniciens d'équipement lourd,1
,MLB Farms Inc,"Vittoria, ON N0E 1H0",8431-Ouvriers agricoles,8
,MMM Group Limited,"Thornhill, ON L3T 0A1",711-Directeurs de la construction,1
,Moah Appliance Service Inc,"Scarborough, ON M1K 4Y5",7332-Réparateurs et préposés à l'entretien d'appareils,1
,Moauro Farms Ltd,"Leamington, ON N8H 4H3",8432-Ouvriers de pépinières et de serres,2
,Mobile Fringe Inc.,"Vaughan, ON L4K 4B5",2171-Analystes et consultants en informatique,1
,Mobile Homes Picture Company Inc.,"Toronto, ON M6G 1A1",5135-Acteurs et comédiens,4
,Mobis Parts Canada Corporation,"Markham, ON L6C 0Y3",1225-Agents aux achats,1
,mold.ca,"Toronto, ON M5K 1P2",7204-Entrepreneurs et contremaîtres en charpenterie,1
,Molly's Movie Ltd.,"Toronto, ON M4M 0A1","5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",2
,,,6321-Chefs,1
,Moloney Electric Inc.,"Toronto, ON M9V 4B7",111-Directeurs financiers,1
,,,911-Directeurs de la fabrication,1
,Molson Canada,"Toronto, ON M9W 5E4",2132-Ingénieurs mécaniciens,1
,Momiji Japanese Grill,"Etobicoke, ON M8X 1B8",6321-Chefs,1
,Monaghan Mushrooms Ltd,"Campbellville, ON L0P 1B0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",9
,,,8431-Ouvriers agricoles,30
,,,8611-Manoeuvres à la récolte,68
,Mondo Globo Inc.,"Ottawa, ON K2P 0A4","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,Monster Truck Music Inc.,"Toronto, ON M5A 2G4",7512-Conducteurs d'autobus et opérateurs de métro et autres transports en commun,1
,Montfort Ltd.,"Burlington, ON L7L 5Y6",6322-Cuisiniers,1
,Moody's Analytics Canada Inc.,"Toronto, ON M5V 3C7",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,3
,Moonfleet Poultry Services Ltd,"Walkerton, ON N0G 2V0",8431-Ouvriers agricoles,115
,Moonstone Granite Ltd,"Mississauga, ON L5S 1V1",621-Directeurs - commerce de détail et de gros,1
,,,1225-Agents aux achats,1
,Moore Orchards,"Cobourg, ON K9A 4J8",8431-Ouvriers agricoles,4
,Mor Gro Farms Inc,"Leamington, ON N8H 3X4",8432-Ouvriers de pépinières et de serres,33
,Moretti's Hair Centre Limited,"Toronto, ON M9W 3W8",6341-Coiffeurs et barbiers,1
,Moretto Ingratta Farms Inc,"Leamington, ON N8H 3V5",8432-Ouvriers de pépinières et de serres,29
,Mori Essex Nurseries Inc,"Jordan Station, ON L0R 1S0",8432-Ouvriers de pépinières et de serres,49
,MOS Enterprises Ltd,"Ruthven, ON N0P 2G0",8432-Ouvriers de pépinières et de serres,66
,Mosale Consultancy Services Limited,"Scarborough, ON M1P 0B9",2171-Analystes et consultants en informatique,1
,Mota Ganga Corporation,"Bowmanville, ON L1C 5A4",631-Directeurs de la restauration et des services alimentaires,1
,Motorola Solutions Canada Ltd,"Markham, ON L6G 1B3",131-Directeurs d'entreprises de télécommunications,1
,Movati Athletic (Group) Inc.,"Windsor, ON N9A 5N8","14-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,Mr. Front-End (Brampton) Limited,"Brampton, ON L6W 1K5","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Mr. X Inc.,"Toronto, ON M5T 1V7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,,5241-Designers graphiques et illustrateurs,11
,M's Japan Inc./Taki Restaurant,"Niagara Falls, ON L2G 3L2",6321-Chefs,1
,MSI STONE ULC,"MISSISSAUGA, ON L5N 6R8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Mucci Farms Ltd,"Kingsville, ON N9Y 2N1",8431-Ouvriers agricoles,2
,,,8432-Ouvriers de pépinières et de serres,196
,Mucci Pac Ltd,"Kingsville, ON N9Y 2N1",8431-Ouvriers agricoles,34
,,,8432-Ouvriers de pépinières et de serres,89
,,,8611-Manoeuvres à la récolte,28
,Much Mobile Inc.,"Cambridge, ON N1R 6B3",6211-Superviseurs des ventes - commerce de détail,1
,,"Cornwall, ON K6H 6M2",6211-Superviseurs des ventes - commerce de détail,1
,,"Markham, ON L6C 0B1",6211-Superviseurs des ventes - commerce de détail,1
,Mudge Family Farms Ltd,"Otterville, ON N0J 1R0",8431-Ouvriers agricoles,2
,Multeps Solar Inc,"Aurora, ON L4G 1X6",2232-Technologues et techniciens en génie mécanique,1
,Muma Manufacturing Inc.,"St. Thomas, ON N5P 3R8",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,Munck Cranes Inc.,"Stoney Creek, ON L8E 4B9",211-Directeurs des services de génie,1
,Muskie Bay Resort Inc.,"Roseneath, ON K0K 2X0",632-Directeurs des services d'hébergement,1
,MXI TECHNOLOGIES LTD,"Ottawa, ON K2M 1W8",2172-Analystes de bases de données et administrateurs de données,1
,Myers Apple Farm/Bob Myers,"Copetown, ON L0R 1J0",8431-Ouvriers agricoles,2
,Mystery Room Downtown Toronto Ltd,"Toronto, ON M5T 1G7",6314-Superviseurs des services d'information et des services à la clientèle,1
,Mystery Room Ltd.,"North York, ON M3K 2A2",2174-Programmeurs et développeurs en médias interactifs,1
,N Sawatzky Farms Inc,"Wheatley, ON N0P 2P0",8432-Ouvriers de pépinières et de serres,9
,N. Harris Computer Corporation (DBA) Harris Computer Systems,"Ottawa, ON K2E 8C4",2174-Programmeurs et développeurs en médias interactifs,1
,N.Bhandal Dentistry Professional Corp.,"Brampton, ON L6P 2P9",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,1
,Naan Bar Inc.,"Toronto, ON M4G 3B7",6321-Chefs,1
,Nadege Patisserie Ltd.,"Toronto, ON M6J 1G2",6321-Chefs,1
,NAFTA Foods & Packaging Inc.,"Brampton, ON L6T 5W2","9213-Surveillants dans la transformation des aliments, des boissons et des produits connexes",1
,Nagano Japanese & Korean Restaurant,"Cambridge, ON N1R 5S4",631-Directeurs de la restauration et des services alimentaires,1
,Nanak Car Wash Inc,"Etobicoke, ON M9V 3Z6",6315-Surveillants des services de nettoyage,1
,nanoPay Corporation,"Toronto, ON M6K 3P6",2173-Ingénieurs et concepteurs en logiciel,4
,Nation Wide Canning Ltd,"Cottam, ON N0R 1B0",8431-Ouvriers agricoles,4
,National Countertops Inc.,"Mississauga, ON L4T 3X2","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,National Multi-Sport Centre-Toronto,"Toronto, ON M1C 0C7","513-Directeurs de programmes et de services de sports, de loisirs et de conditionnement physique",1
,National Rhythmic Gymnastics Centre Inc.,"Toronto, ON M1P 2G6",1226-Planificateurs de congrès et d'événements,1
,Natural Granite and Marble Ltd.,"Toronto, ON M3J 2Z1",7271-Charpentiers-menuisiers,1
,Nature Fresh Farms Inc,"Leamington, ON N8H 3V8","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,,,8431-Ouvriers agricoles,2
,,,8432-Ouvriers de pépinières et de serres,153
,Nature's Bounty Farm,"Port Perry, ON L9L 1B3",8611-Manoeuvres à la récolte,4
,NAV Canada,"Mississauga, ON L4W 2P7",2272-Contrôleurs aériens et personnel assimilé,2
,Navon Transport Ltd.,"Brampton, ON L6P 2Z3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,NC Hair Salon Corp.,"North York ( Toronto), ON M2N 7L3","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,NC Plus Inc.,"Toronto, ON M4Y 2B6","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,Neil Wammes Farms Ltd,"Blenheim, ON N0P 1A0",8431-Ouvriers agricoles,13
,NEL Network Engineering Ltd.,"Toronto, ON M1H 2X1",2253-Technologues et techniciens en dessin,1
,Neo Coffee Bar Inc.,"Toronto, ON M5T 1R9",6322-Cuisiniers,1
,Neopost Canada Limited,"Markham, ON L3R 3J9",6221-Spécialistes des ventes techniques - commerce de gros,1
,Ness Canada Inc,"Mississauga, ON L4Z 1H8",2173-Ingénieurs et concepteurs en logiciel,1
,NetCracker Technology Corporation,"Richmond Hill, ON L4B 1E6",2173-Ingénieurs et concepteurs en logiciel,1
,Netherend Acres Inc,"Thamesford, ON N0M 2M0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",3
,Netterm Solutions Inc.,"Brampton, ON L7A 0V6",7246-Installateurs et réparateurs de matériel de télécommunications,1
,NeuBelva Inc.,"Oakville, ON L6M 3E3","14-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,Neven Produce Inc,"Lynden, ON L0R 1T0",8432-Ouvriers de pépinières et de serres,10
,New Castle Farm Ltd,"Leamington, ON N8H 3V5",8432-Ouvriers de pépinières et de serres,54
,New Gold Inc.,"Emo, ON P0W 1E0",2143-Ingénieurs miniers,1
,New Lahore Tikka House Inc.,"Toronto, ON M4L 1Z3",6322-Cuisiniers,1
,New Link Solutions Inc,"Mississauga, ON L4T 2H5",1223-Agents des ressources humaines et de recrutement,1
,New Malwa Express Inc,"Mississauga, ON L4T 3S8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,New Millenium Tire Hamilton Inc.,"Brampton, ON L6W 1X4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,New Starline Painting LTD,"Brampton, ON L6P 1Z6",7294-Peintres et décorateurs (sauf décorateurs d'intérieur),2
,New United Goderich Inc.,"Huron Park, ON N0M 1Y0",6345-Tapissiers-garnisseurs,3
,Newbrabant Farms Ltd,"Lancaster, ON K0C 1N0",8431-Ouvriers agricoles,7
,Newman Farms Inc,"Warkworth, ON K0K 3K0",8431-Ouvriers agricoles,2
,Newterra Group Ltd,"Brockville, ON K6V 5Y6","16-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,Newtopia Inc.,"Toronto, ON M2P 2C2",2174-Programmeurs et développeurs en médias interactifs,2
,Nexus Holidays Toronto Inc.,"Markham, ON L3R 8B3","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,Nexxera Innovations Inc.,"Mississauga, ON L5T 2K9",7246-Installateurs et réparateurs de matériel de télécommunications,1
,NGF Proulx Inc,"Cumberland, ON K4C 1N2",8431-Ouvriers agricoles,5
,Niagara Christian Collegiate,"Fort Erie, ON L2A 5M4",632-Directeurs des services d'hébergement,1
,Niagara Essential OIls & Blend,"Niagara on the lake, ON L0S 1J0",8431-Ouvriers agricoles,1
,Niagara Skydive Center Inc.,"Pelham, ON L3B 5N6","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,Niagara Vintage Harvesters Ltd.,"Virgil, ON L0S 1T0",8431-Ouvriers agricoles,2
