,Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Year,Date,Month,ZipCode,NOC 2016 V1.3 Code,NOC 2016 V1.3 Title,NOC 2021 V1.0 Code,NOC 2021 V1.0 Title,Teer
473,Alberta,High Wage,SUNORA FOODS,"CALGARY, AB T3A 0X9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,T3A 0X9,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
474,Alberta,High Wage,SUNORA FOODS,"CALGARY, AB T3A 0X9","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,T3A 0X9,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
475,Alberta,High Wage,SUPER 1 CONSTRUCTIONS LTD.,"CALGARY, AB T3J 2C8",7611-Construction trades helpers and labourers,Unknown,1.0,2.0,2023,October 2023,October,T3J 2C8,7611,Construction trades helpers and labourers,75110,Construction trades helpers and labourers,5
476,Alberta,High Wage,Super Services Corp,"EDMONTON, AB T6B 3J4",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,T6B 3J4,1221,Administrative officers,13100,Administrative officers,3
477,Alberta,High Wage,UPVIEW CONSTRUCTION & MANAGEMENT LTD.,"CALGARY, AB T2E 2M3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,T2E 2M3,1123,"Professional occupations in advertising, marketing and public relations",10022,"Advertising, marketing and public relations managers",0
478,Alberta,High Wage,UPVIEW CONSTRUCTION & MANAGEMENT LTD.,"CALGARY, AB T2E 2M3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,T2E 2M3,1123,"Professional occupations in advertising, marketing and public relations",11202,"Professional occupations in advertising, marketing and public relations",1
479,Alberta,High Wage,UPVIEW CONSTRUCTION & MANAGEMENT LTD.,"CALGARY, AB T2E 2M3","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,T2E 2M3,1123,"Professional occupations in advertising, marketing and public relations",64409,Other customer and information services representatives,4
480,Alberta,High Wage,Waymaker Creative Services Inc.,"Edmonton, AB T6T 1E2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,2.0,2023,October 2023,October,T6T 1E2,1123,"Professional occupations in advertising, marketing and public relations",10022,"Advertising, marketing and public relations managers",0
481,Alberta,High Wage,Waymaker Creative Services Inc.,"Edmonton, AB T6T 1E2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,2.0,2023,October 2023,October,T6T 1E2,1123,"Professional occupations in advertising, marketing and public relations",11202,"Professional occupations in advertising, marketing and public relations",1
482,Alberta,High Wage,Waymaker Creative Services Inc.,"Edmonton, AB T6T 1E2","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,2.0,2023,October 2023,October,T6T 1E2,1123,"Professional occupations in advertising, marketing and public relations",64409,Other customer and information services representatives,4
483,Alberta,High Wage,WOODFELLAS CONSTRUCTION LTD.,"Calgary, AB T3J 0B4",1221-Administrative officers,Unknown,1.0,1.0,2023,October 2023,October,T3J 0B4,1221,Administrative officers,13100,Administrative officers,3
484,Alberta,High Wage,ZM Auto Group Limited,"Edmonton, AB T6R 3B2",0114-Other administrative services managers,Unknown,1.0,1.0,2023,October 2023,October,T6R 3B2,0114,Other administrative services managers,10019,Other administrative services managers,0
485,Alberta,Low Wage,101145697 Saskatchewan Ltd.,"Calgary, AB T2A 2L7",6611-Cashiers,Unknown,1.0,1.0,2023,October 2023,October,T2A 2L7,6611,Cashiers,65100,Cashiers,5
486,Alberta,Low Wage,1278844 ALBERTA LTD,"CALGARY, AB T3N 1L3","6733-Janitors, caretakers and building superintendents",Unknown,1.0,1.0,2023,October 2023,October,T3N 1L3,6733,"Janitors, caretakers and building superintendents",65312,"Janitors, caretakers and heavy-duty cleaners",5
487,Alberta,Low Wage,1278844 ALBERTA LTD,"CALGARY, AB T3N 1L3","6733-Janitors, caretakers and building superintendents",Unknown,1.0,1.0,2023,October 2023,October,T3N 1L3,6733,"Janitors, caretakers and building superintendents",73201,General building maintenance workers and building superintendents,3
488,Alberta,Low Wage,1303831 Alberta Ltd.,"Calgary, AB T2X 4G5",7271-Carpenters,Unknown,1.0,1.0,2023,October 2023,October,T2X 4G5,7271,Carpenters,72310,Carpenters,2
489,Alberta,Low Wage,2226802 Alberta LTD.,"Calgary, AB T3J 1Y6",7611-Construction trades helpers and labourers,Unknown,1.0,1.0,2023,October 2023,October,T3J 1Y6,7611,Construction trades helpers and labourers,75110,Construction trades helpers and labourers,5
490,Alberta,Low Wage,2281313 Alberta Ltd.,"Edmonton, AB T5K 0L5",6322-Cooks,Unknown,1.0,1.0,2023,October 2023,October,T5K 0L5,6322,Cooks,63200,Cooks,3
491,Alberta,Low Wage,2382399 Alberta Inc.,"Calgary, AB T2J 0P5",6311-Food service supervisors,Unknown,1.0,1.0,2023,October 2023,October,T2J 0P5,6311,Food service supervisors,62020,Food service supervisors,2
492,Alberta,Low Wage,2382399 Alberta Inc.,"Calgary, AB T2J 0P5",6322-Cooks,Unknown,1.0,1.0,2023,October 2023,October,T2J 0P5,6322,Cooks,63200,Cooks,3
493,Alberta,Low Wage,2398211 Alberta LTD,"Calgary, AB T2G 0T3",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,T2G 0T3,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
494,Alberta,Low Wage,A&L electrical services ltd.,"EDMONTON, AB T6X 1S8",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T6X 1S8,1241,Administrative assistants,13110,Administrative assistants,3
495,Alberta,Low Wage,ACONNECT INC.,"Calgary, AB T2N 2B6",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T2N 2B6,1241,Administrative assistants,13110,Administrative assistants,3
496,Alberta,Low Wage,Amazing Duo Cleaning Services,"Calgary, AB T1Y 4W8",6731-Light duty cleaners,Unknown,1.0,2.0,2023,October 2023,October,T1Y 4W8,6731,Light duty cleaners,65310,Light duty cleaners,5
497,Alberta,Low Wage,ARC PLUMBING INC.,"airdrie, AB T4A 1W9",7251-Plumbers,Unknown,1.0,1.0,2023,October 2023,October,T4A 1W9,7251,Plumbers,72300,Plumbers,2
498,Alberta,Low Wage,Belvent Manufacturing Ltd.,"Edmonton, AB T5H 3P7",9416-Metalworking and forging machine operators,Unknown,1.0,3.0,2023,October 2023,October,T5H 3P7,9416,Metalworking and forging machine operators,94105,Metalworking and forging machine operators,4
499,Alberta,Low Wage,Blue Rock Construction Ltd.,"Edmonton, AB T6T 1W9",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T6T 1W9,1241,Administrative assistants,13110,Administrative assistants,3
500,Alberta,Low Wage,BRIDGE TO CARE,"Spruce Grove, AB T7X 0J6",4212-Social and community service workers,Unknown,1.0,1.0,2023,October 2023,October,T7X 0J6,4212,Social and community service workers,42201,Social and community service workers,2
501,Alberta,Low Wage,Compass Bending Ltd.,"Calgary, AB T2C 1W2",9416-Metalworking and forging machine operators,Unknown,1.0,1.0,2023,October 2023,October,T2C 1W2,9416,Metalworking and forging machine operators,94105,Metalworking and forging machine operators,4
502,Alberta,Low Wage,Crest Immigration Services inc.,"Edmonton, AB T5Z 0J4",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T5Z 0J4,1241,Administrative assistants,13110,Administrative assistants,3
503,Alberta,Low Wage,FASTWAY TRANS GROUP INC.,"Calgary, AB T3J 4H6",6211-Retail sales supervisors,Unknown,1.0,1.0,2023,October 2023,October,T3J 4H6,6211,Retail sales supervisors,62010,Retail sales supervisors,2
504,Alberta,Low Wage,Genesis Construction Inc.,"Calgary, AB T3C 0N3",7611-Construction trades helpers and labourers,Unknown,1.0,3.0,2023,October 2023,October,T3C 0N3,7611,Construction trades helpers and labourers,75110,Construction trades helpers and labourers,5
505,Alberta,Low Wage,GENIUS EXTERIORS LTD,"Edmonton, AB T6B 3G1",7611-Construction trades helpers and labourers,Unknown,1.0,5.0,2023,October 2023,October,T6B 3G1,7611,Construction trades helpers and labourers,75110,Construction trades helpers and labourers,5
506,Alberta,Low Wage,GIAANSH MANAGEMENT LTD,"Edmonton, AB T5S 2X6",6322-Cooks,Unknown,1.0,1.0,2023,October 2023,October,T5S 2X6,6322,Cooks,63200,Cooks,3
507,Alberta,Low Wage,HENVI & PAL'S RESTAURANTS INC.,"CALGARY, AB T2Z 3E7","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,2023,October 2023,October,T2Z 3E7,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
508,Alberta,Low Wage,Legacy Immigration Services,"BEAUMONT, AB T4X 2A2",1414-Receptionists,Unknown,1.0,1.0,2023,October 2023,October,T4X 2A2,1414,Receptionists,14101,Receptionists,4
509,Alberta,Low Wage,Lethbridge Chicken Foods Inc,"Lethbridge, AB T1J 0L9","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,2023,October 2023,October,T1J 0L9,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
510,Alberta,Low Wage,LKJ Renovation Inc,"Edmonton, AB T6P 1G8",7291-Roofers and shinglers,Unknown,1.0,1.0,2023,October 2023,October,T6P 1G8,7291,Roofers and shinglers,73110,Roofers and shinglers,3
511,Alberta,Low Wage,MBIC Immigration Services Ltd.,"Calgary, AB T2P 3H6",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T2P 3H6,1241,Administrative assistants,13110,Administrative assistants,3
512,Alberta,Low Wage,Mid east well bake corporation,"calgary, AB T1Y 7L9","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,2023,October 2023,October,T1Y 7L9,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
513,Alberta,Low Wage,MPC Logistics Inc.,"Edmonton, AB T6L 5X9",6621-Service station attendants,Unknown,1.0,2.0,2023,October 2023,October,T6L 5X9,6621,Service station attendants,65101,Service station attendants,5
514,Alberta,Low Wage,Newton Holding Ltd,"Edmonton, AB T6P 1M2",7511-Transport truck drivers,Unknown,1.0,2.0,2023,October 2023,October,T6P 1M2,7511,Transport truck drivers,73300,Transport truck drivers,3
515,Alberta,Low Wage,Nho Saigon Inc.,"Calgary, AB T2T 1Z7","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,2023,October 2023,October,T2T 1Z7,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
516,Alberta,Low Wage,Olti Ceramic Tile Ltd.,"Edmonton, AB T5T 7G7",7611-Construction trades helpers and labourers,Unknown,1.0,1.0,2023,October 2023,October,T5T 7G7,7611,Construction trades helpers and labourers,75110,Construction trades helpers and labourers,5
517,Alberta,Low Wage,Pho Uncle Ten Inc,"Calgary, AB T2A 7X6",6322-Cooks,Unknown,1.0,3.0,2023,October 2023,October,T2A 7X6,6322,Cooks,63200,Cooks,3
518,Alberta,Low Wage,PK 17TH AVENUE INC.,"CALGARY, AB T2A 0S5",6322-Cooks,Unknown,1.0,1.0,2023,October 2023,October,T2A 0S5,6322,Cooks,63200,Cooks,3
519,Alberta,Low Wage,PosadaGem Food Products,"Lethbridge, AB T1J 3S7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,T1J 3S7,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2
520,Alberta,Low Wage,PosadaGem Food Products,"Lethbridge, AB T1J 3S7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,T1J 3S7,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
521,Alberta,Low Wage,PosadaGem Food Products,"Lethbridge, AB T1J 3S7","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,T1J 3S7,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
522,Alberta,Low Wage,PRABH DISTRIBUTORS LTD.,"CALGARY, AB T3N 0V7",7611-Construction trades helpers and labourers,Unknown,1.0,3.0,2023,October 2023,October,T3N 0V7,7611,Construction trades helpers and labourers,75110,Construction trades helpers and labourers,5
523,Alberta,Low Wage,Red Spoon Holdings Ltd,"Edmonton, AB T6M 0M8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,3.0,3.0,2023,October 2023,October,T6M 0M8,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
524,Alberta,Low Wage,SAMRA WELDING LTD,"Edmonton, AB T6T 0L3",9612-Labourers in metal fabrication,Unknown,1.0,1.0,2023,October 2023,October,T6T 0L3,9612,Labourers in metal fabrication,95101,Labourers in metal fabrication,5
525,Alberta,Low Wage,Skyhawk Transport Services Ltd.,"St. Albert, AB T8N 4C9",1411-General office support workers,Unknown,1.0,1.0,2023,October 2023,October,T8N 4C9,1411,General office support workers,14100,General office support workers,4
526,Alberta,Low Wage,Spiro's family holdings Ltd,"Lloydminster, AB T9V 0Y1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,2023,October 2023,October,T9V 0Y1,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
527,Alberta,Low Wage,Summit Resort MPM Inc-o/a Falcon Crest Lodge,"Canmore, AB T1W 3K5","6313-Accommodation, travel, tourism and related services supervisors",Unknown,1.0,1.0,2023,October 2023,October,T1W 3K5,6313,"Accommodation, travel, tourism and related services supervisors",62022,"Accommodation, travel, tourism and related services supervisors",2
528,Alberta,Low Wage,The Landscape Artist Inc.,"Foothills, AB T1S 4E9",8612-Landscaping and grounds maintenance labourers,Unknown,1.0,8.0,2023,October 2023,October,T1S 4E9,8612,Landscaping and grounds maintenance labourers,85121 ,Landscaping and grounds maintenance labourers,5
529,Alberta,Low Wage,The Posh Boutique Inc.,"Calgary, AB T3N 1W3",6611-Cashiers,Unknown,1.0,1.0,2023,October 2023,October,T3N 1W3,6611,Cashiers,65100,Cashiers,5
530,Alberta,Low Wage,The Roaring Rolls,"Canmore, AB T1W 0L5","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,2023,October 2023,October,T1W 0L5,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
531,Alberta,Low Wage,Turkish Kebab House Inc,"Calgary, AB T2A 0V6","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,2.0,2023,October 2023,October,T2A 0V6,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
532,Alberta,Low Wage,Unit Eight 73 Inc (1008),"Edmonton, AB T5V 0C8","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1.0,1.0,2023,October 2023,October,T5V 0C8,6711,"Food counter attendants, kitchen helpers and related support occupations",65201,"Food counter attendants, kitchen helpers and related support occupations",5
533,Alberta,Low Wage,UnityRig Equipment Inc,"Nisku, AB T9E 7M1",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T9E 7M1,1241,Administrative assistants,13110,Administrative assistants,3
534,Alberta,Low Wage,Vemuri Talla Pharmacy services Ltd,"Peace River, AB T8S 0A3",3219-Other medical technologists and technicians (except dental health),Unknown,1.0,1.0,2023,October 2023,October,T8S 0A3,3219,Other medical technologists and technicians (except dental health),32124,Pharmacy technicians,2
535,Alberta,Low Wage,Vemuri Talla Pharmacy services Ltd,"Peace River, AB T8S 0A3",3219-Other medical technologists and technicians (except dental health),Unknown,1.0,1.0,2023,October 2023,October,T8S 0A3,3219,Other medical technologists and technicians (except dental health),32129,Other medical technologists and technicians,2
536,Alberta,Low Wage,Vemuri Talla Pharmacy services Ltd,"Peace River, AB T8S 0A3",3219-Other medical technologists and technicians (except dental health),Unknown,1.0,1.0,2023,October 2023,October,T8S 0A3,3219,Other medical technologists and technicians (except dental health),33103,Pharmacy technical assistants and pharmacy assistants,3
537,Alberta,Low Wage,Wild Forest Adventures Sled Dog Tours and Pet Boarding,"Crooked Creek, AB T0H 0Y0","5254-Program leaders and instructors in recreation, sport and fitness",Unknown,1.0,1.0,2023,October 2023,October,T0H 0Y0,5254,"Program leaders and instructors in recreation, sport and fitness",54100,"Program leaders and instructors in recreation, sport and fitness",4
538,Alberta,Low Wage,World Guardian Inc.,"Edmonton, AB T6E 5Y7",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T6E 5Y7,1241,Administrative assistants,13110,Administrative assistants,3
539,Alberta,Low Wage,ZM Auto Group Limited,"Edmonton, AB T6R 3B2",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T6R 3B2,1241,Administrative assistants,13110,Administrative assistants,3
540,Alberta,Primary Agriculture,Serfas Farms Ltd,"Turin, AB T0K 2H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,3.0,2023,October 2023,October,T0K 2H0,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",72600,"Air pilots, flight engineers and flying instructors",2
541,Alberta,Primary Agriculture,Serfas Farms Ltd,"Turin, AB T0K 2H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,3.0,2023,October 2023,October,T0K 2H0,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",82030,Agricultural service contractors and farm supervisors,2
542,Alberta,Primary Agriculture,Serfas Farms Ltd,"Turin, AB T0K 2H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,3.0,2023,October 2023,October,T0K 2H0,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",84120,Specialized livestock workers and farm machinery operators,4
543,Alberta,Primary Agriculture,Serfas Farms Ltd,"Turin, AB T0K 2H0","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1.0,3.0,2023,October 2023,October,T0K 2H0,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",85100,Livestock labourers,5
544,Alberta,Permanent Resident Only,Angad Immigration Consultancy Services Inc.,"Edmonton, AB T6E  5T",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,T6E  5T,1241,Administrative assistants,13110,Administrative assistants,3
545,Alberta,Permanent Resident Only,HEMKUND DEVELOPMENTS LTD.,"Edmonton, AB T5M 1V4",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023,October,T5M 1V4,0125,Other business services managers,10029,Other business services managers,0
546,British Columbia,High Wage,0772185 B.C. Ltd.,"Vancouver, BC V6B 2Z4","5131-Producers, directors, choreographers and related occupations",Unknown,1.0,1.0,2023,October 2023,October,V6B 2Z4,5131,"Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",1
547,British Columbia,High Wage,0794743 BC Ltd,"Victoria, BC V8V 2P8","1212-Supervisors, finance and insurance office workers",Unknown,1.0,1.0,2023,October 2023,October,V8V 2P8,1212,"Supervisors, finance and insurance office workers",12011,"Supervisors, finance and insurance office workers",2
548,British Columbia,High Wage,1037736 BC LTD,"Hope, BC V0X 1L4",6315-Cleaning supervisors,Unknown,1.0,1.0,2023,October 2023,October,V0X 1L4,6315,Cleaning supervisors,62024,Cleaning supervisors,2
549,British Columbia,High Wage,1361118 B.C. LTD.,"Delta, BC V4C 2L7",2175-Web designers and developers,Unknown,1.0,1.0,2023,October 2023,October,V4C 2L7,2175,Web designers and developers,21233,Web designers,1
550,British Columbia,High Wage,1361118 B.C. LTD.,"Delta, BC V4C 2L7",2175-Web designers and developers,Unknown,1.0,1.0,2023,October 2023,October,V4C 2L7,2175,Web designers and developers,21234,Web developers and programmers,1
551,British Columbia,High Wage,3 Star Tile & Stone Services  Ltd.,"Surrey, BC V3V 5M2",7283-Tilesetters,Unknown,1.0,1.0,2023,October 2023,October,V3V 5M2,7283,Tilesetters,73101,Tilesetters,3
552,British Columbia,High Wage,A D Services Ltd.,"SURREY, BC V3W 3E9","0013-Senior managers - financial, communications and other business services",Unknown,1.0,1.0,2023,October 2023,October,V3W 3E9,0013,"Senior managers - financial, communications and other business services",00012,"Senior managers - financial, communications and other business services",0
553,British Columbia,High Wage,A-2 Enterprises Ltd,"Richmond, BC V6X 1T4",6211-Retail sales supervisors,Unknown,1.0,1.0,2023,October 2023,October,V6X 1T4,6211,Retail sales supervisors,62010,Retail sales supervisors,2
554,British Columbia,High Wage,Aarvi Transport Ltd.,"Surrey, BC V3W 1R1","0016-Senior managers - construction, transportation, production and utilities",Unknown,1.0,1.0,2023,October 2023,October,V3W 1R1,0016,"Senior managers - construction, transportation, production and utilities",00015,"Senior managers - construction, transportation, production and utilities",0
555,British Columbia,High Wage,Access Pacific Enterprises LTD.,"Richmond, BC V6V 0B7",0113-Purchasing managers,Unknown,1.0,1.0,2023,October 2023,October,V6V 0B7,0113,Purchasing managers,10012,Purchasing managers,0
556,British Columbia,High Wage,ACTRONICS TECHNOLOGY SOLUTION INC.,"Surrey, BC V3T 4Y2",2172-Database analysts and data administrators,Unknown,1.0,1.0,2023,October 2023,October,V3T 4Y2,2172,Database analysts and data administrators,21211,Data scientists,1
557,British Columbia,High Wage,ACTRONICS TECHNOLOGY SOLUTION INC.,"Surrey, BC V3T 4Y2",2172-Database analysts and data administrators,Unknown,1.0,1.0,2023,October 2023,October,V3T 4Y2,2172,Database analysts and data administrators,21223,Database analysts and data administrators,1
558,British Columbia,High Wage,Aglign BC Development (Baillie) Corp,"Vancouver, BC V6B 4N6",4163-Business development officers and marketing researchers and consultants,Unknown,1.0,1.0,2023,October 2023,October,V6B 4N6,4163,Business development officers and marketing researchers and consultants,11202,"Professional occupations in advertising, marketing and public relations",1
559,British Columbia,High Wage,Aglign BC Development (Baillie) Corp,"Vancouver, BC V6B 4N6",4163-Business development officers and marketing researchers and consultants,Unknown,1.0,1.0,2023,October 2023,October,V6B 4N6,4163,Business development officers and marketing researchers and consultants,41402,Business development officers and market researchers and analysts,1
560,British Columbia,High Wage,Alliance Energy Consultants LTD,"Burnaby, BC V5C 6C6",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023,October,V5C 6C6,0125,Other business services managers,10029,Other business services managers,0
561,British Columbia,High Wage,Autozone Diagnostics Ltd.,"Surrey, BC V3W 4Z3","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1.0,2.0,2023,October 2023,October,V3W 4Z3,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",2
562,British Columbia,High Wage,AYROOP MILLWORK & DESIGN LTD.,"WEST VANCOUVER, BC V7S 2W1",5242-Interior designers and interior decorators,Unknown,1.0,1.0,2023,October 2023,October,V7S 2W1,5242,Interior designers and interior decorators,52121,Interior designers and interior decorators,2
563,British Columbia,High Wage,BAKERVIEW MEMORIAL CEMETRY LTD,"LANGLEY, BC V4W 2P8",1241-Administrative assistants,Unknown,1.0,2.0,2023,October 2023,October,V4W 2P8,1241,Administrative assistants,13110,Administrative assistants,3
564,British Columbia,High Wage,Bang Bang Tang Consulting Service Ltd.,"Burnaby, BC V5H 2A9",0125-Other business services managers,Unknown,1.0,1.0,2023,October 2023,October,V5H 2A9,0125,Other business services managers,10029,Other business services managers,0
565,British Columbia,High Wage,BIBIANA MENDOZA MARTINEZ D.B.A Manu Dei Transportation,"Surrey, BC V3T 5T8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,3.0,2023,October 2023,October,V3T 5T8,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2
566,British Columbia,High Wage,BIBIANA MENDOZA MARTINEZ D.B.A Manu Dei Transportation,"Surrey, BC V3T 5T8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,3.0,2023,October 2023,October,V3T 5T8,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
567,British Columbia,High Wage,BIBIANA MENDOZA MARTINEZ D.B.A Manu Dei Transportation,"Surrey, BC V3T 5T8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,3.0,2023,October 2023,October,V3T 5T8,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
568,British Columbia,High Wage,Blue Mars Logistics Ltd,"Delta, BC V4G 1H5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,V4G 1H5,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2
569,British Columbia,High Wage,Blue Mars Logistics Ltd,"Delta, BC V4G 1H5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,V4G 1H5,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
570,British Columbia,High Wage,Blue Mars Logistics Ltd,"Delta, BC V4G 1H5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,V4G 1H5,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
571,British Columbia,High Wage,Bones Pet Stores Inc,"Vancouver, BC V6B 4Z8",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,V6B 4Z8,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
572,British Columbia,High Wage,BURMA TRANSPORT LTD.,"Surrey, BC V3S 0W3","0016-Senior managers - construction, transportation, production and utilities",Unknown,1.0,1.0,2023,October 2023,October,V3S 0W3,0016,"Senior managers - construction, transportation, production and utilities",00015,"Senior managers - construction, transportation, production and utilities",0
573,British Columbia,High Wage,CAN ASIA ENTERPRISES LTD.,"Surrey, BC V3T 2S9","0014-Senior managers - health, education, social and community services and membership organizations",Unknown,1.0,1.0,2023,October 2023,October,V3T 2S9,0014,"Senior managers - health, education, social and community services and membership organizations",00013,"Senior managers - health, education, social and community services and membership organizations",0
574,British Columbia,High Wage,Castores Builders Ltd.,"Burnaby, BC V5C 0L2",7271-Carpenters,Unknown,1.0,15.0,2023,October 2023,October,V5C 0L2,7271,Carpenters,72310,Carpenters,2
575,British Columbia,High Wage,Centura immigration Service Inc.,"Surrey, BC V3W 1E6","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,V3W 1E6,1123,"Professional occupations in advertising, marketing and public relations",10022,"Advertising, marketing and public relations managers",0
576,British Columbia,High Wage,Centura immigration Service Inc.,"Surrey, BC V3W 1E6","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,V3W 1E6,1123,"Professional occupations in advertising, marketing and public relations",11202,"Professional occupations in advertising, marketing and public relations",1
577,British Columbia,High Wage,Centura immigration Service Inc.,"Surrey, BC V3W 1E6","1123-Professional occupations in advertising, marketing and public relations",Unknown,1.0,1.0,2023,October 2023,October,V3W 1E6,1123,"Professional occupations in advertising, marketing and public relations",64409,Other customer and information services representatives,4
