"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"2273 - Deck officers, water transport",0,5,0,0,0,0,0,0
"2274 - Engineer officers, water transport",0,3,0,0,0,0,0,0
2283 - Information systems testing technicians,0,1,0,0,0,0,0,0
3111 - Specialist physicians,1,3,0,1,1,0,2,0
3112 - General practitioners and family physicians,3,1,0,0,1,1,1,0
3232 - Practitioners of natural healing,0,0,0,0,0,0,0,1
3236 - Massage therapists,0,0,0,2,0,0,0,0
"3413 - Nurse aides, orderlies and patient service associates",0,0,0,2,2,0,1,7
4011 - University professors and lecturers,0,0,0,1,0,0,0,0
4021 - College and other vocational instructors,1,0,0,0,0,0,0,0
4163 - Business development officers and marketing researchers and consultants,4,0,1,0,0,0,0,0
"4167 - Recreation, sports and fitness policy researchers, consultants and program officers",0,3,0,0,0,0,0,0
4411 - Home child care providers,0,0,0,2,0,1,0,1
"4412 - Home support workers, housekeepers and related occupations",1,0,3,2,0,2,2,1
"5131 - Producers, directors, choreographers and related occupations",2,0,0,1,0,0,1,0
5135 - Actors and comedians,0,1,0,0,0,0,0,0
5241 - Graphic designers and illustrators,1,0,0,0,0,0,0,0
5244 - Artisans and craftspersons,5,0,0,0,0,0,0,0
6211 - Retail sales supervisors,0,0,0,0,0,1,2,4
6221 - Technical sales specialists - wholesale trade,0,0,0,0,0,0,1,0
6311 - Food service supervisors,1,0,1,1,0,0,65,2
6315 - Cleaning supervisors,0,0,0,0,0,4,0,5
6321 - Chefs,0,3,0,1,1,0,0,1
6322 - Cooks,7,6,4,9,8,9,18,34
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",0,0,0,0,1,2,1,0
6332 - Bakers,0,1,1,0,0,0,6,1
6341 - Hairstylists and barbers,0,0,0,0,0,0,1,0
"6344 - Jewellers, jewellery and watch repairers and related occupations",0,0,0,0,0,0,1,0
6421 - Retail salespersons,0,0,1,0,0,0,1,1
6512 - Bartenders,0,0,0,1,0,0,0,0
6513 - Food and beverage servers,0,0,1,1,0,0,1,1
6531 - Tour and travel guides,3,1,0,0,0,0,0,0
6532 - Outdoor sport and recreational guides,0,3,0,0,0,0,0,0
"6562 - Estheticians, electrologists and related occupations",0,0,0,1,0,0,0,3
6611 - Cashiers,0,0,0,0,0,0,1,1
"6711 - Food counter attendants, kitchen helpers and related support occupations",0,0,0,0,0,0,9,12
6731 - Light duty cleaners,0,0,0,0,0,0,13,6
"6733 - Janitors, caretakers and building superintendents",0,0,0,0,0,0,0,4
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",2,0,0,0,0,0,0,0
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",0,0,0,0,0,0,0,5
7231 - Machinists and machining and tooling inspectors,0,0,0,2,0,0,0,0
7235 - Structural metal and platework fabricators and fitters,3,0,0,0,0,0,0,0
7237 - Welders and related machine operators,7,0,0,0,0,0,0,22
7242 - Industrial electricians,0,3,0,0,0,0,0,0
7246 - Telecommunications installation and repair workers,0,0,0,0,0,0,0,1
"7252 - Steamfitters, pipefitters and sprinkler system installers",11,0,0,0,0,0,0,0
7271 - Carpenters,0,0,0,8,0,0,11,1
7291 - Roofers and shinglers,0,0,0,6,0,0,10,0
7294 - Painters and decorators (except interior decorators),2,0,0,0,0,0,0,1
"7305 - Supervisors, motor transport and other ground transit operators",0,0,0,0,0,0,1,0
7312 - Heavy-duty equipment mechanics,0,0,0,1,0,1,1,0
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers",0,0,0,0,0,0,0,7
7335 - Other small engine and small equipment repairers,0,0,0,0,0,0,0,1
"7384 - Other trades and related occupations, n.e.c.",0,2,0,0,0,0,1,0
7452 - Material handlers,0,0,0,4,0,0,0,4
7511 - Transport truck drivers,32,86,114,57,50,56,84,34
7514 - Delivery and courier service drivers,0,0,0,0,0,0,3,0
7521 - Heavy equipment operators (except crane),10,6,0,0,0,0,0,0
7611 - Construction trades helpers and labourers,1,8,0,8,12,10,14,28
7612 - Other trades helpers and labourers,0,0,0,0,0,0,0,2
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",12,31,15,18,40,31,16,27
"8255 - Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0,0,0,0,0,2,2,0
8431 - General farm workers,319,358,374,436,691,406,620,646
8432 - Nursery and greenhouse workers,9,15,13,64,17,8,12,5
8441 - Fishing vessel deckhands,0,0,0,0,0,0,0,8
8611 - Harvesting labourers,18,14,4,8,6,58,27,34
8612 - Landscaping and grounds maintenance labourers,0,0,0,0,0,0,0,6
8613 - Aquaculture and marine harvest labourers,0,0,0,0,0,9,10,35
"9442 - Weavers, knitters and other fabric making occupations",0,1,0,0,0,0,0,0
9446 - Industrial sewing machine operators,0,0,0,0,0,1,0,0
"9462 - Industrial butchers and meat cutters, poultry preparers and related workers",5,0,10,10,16,0,26,0
9463 - Fish and seafood plant workers,416,492,464,527,865,881,"1,212",660
9612 - Labourers in metal fabrication,0,0,0,0,0,0,3,0
"9617 - Labourers in food, beverage and associated products processing",0,0,0,0,0,0,16,5
9618 - Labourers in fish and seafood processing,28,0,0,0,0,6,77,53
"9619 - Other labourers in processing, manufacturing and utilities",0,0,0,0,0,4,7,23
Prince Edward Island - Total,946,"1,056","1,012","1,179","1,724","1,504","2,291","1,711"
Nova Scotia,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"0013 - Senior managers - financial, communications and other business services",3,4,2,3,4,2,3,4
"0014 - Senior managers - health, education, social and community services and membership organizations",0,0,0,0,2,1,0,1
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",2,1,1,3,1,2,0,0
"0016 - Senior managers - construction, transportation, production and utilities",8,7,5,8,8,5,4,1
0111 - Financial managers,0,0,0,0,0,1,1,2
0113 - Purchasing managers,2,2,1,1,2,1,2,3
0114 - Other administrative services managers,0,0,0,0,0,1,1,1
"0122 - Banking, credit and other investment managers",0,0,0,0,0,0,1,0
"0124 - Advertising, marketing and public relations managers",1,0,1,0,0,1,0,3
0125 - Other business services managers,0,0,0,0,0,3,0,2
0131 - Telecommunication carriers managers,0,0,1,0,0,0,0,0
0211 - Engineering managers,1,10,8,10,4,5,7,5
0212 - Architecture and science managers,0,0,0,0,0,1,1,0
0213 - Computer and information systems managers,1,1,1,4,1,4,4,7
"0412 - Government managers - economic analysis, policy development and program administration",0,0,0,0,0,3,0,0
0421 - Administrators - post-secondary education and vocational training,1,0,0,2,0,0,0,0
0422 - School principals and administrators of elementary and secondary education,0,0,0,0,0,0,1,0
0433 - Commissioned officers of the Canadian Forces,0,0,0,0,0,0,0,1
0601 - Corporate sales managers,0,0,0,0,0,0,2,2
0621 - Retail and wholesale trade managers,2,0,1,3,1,1,1,2
0631 - Restaurant and food service managers,0,0,2,1,5,2,10,13
0632 - Accommodation service managers,2,3,0,0,3,1,2,3
"0651 - Managers in customer and personal services, n.e.c.",0,0,0,0,1,0,0,0
0711 - Construction managers,6,7,6,3,2,2,9,1
0712 - Home building and renovation managers,0,0,0,0,0,1,0,0
0714 - Facility operation and maintenance managers,1,1,0,0,0,0,1,1
0731 - Managers in transportation,2,0,0,0,4,0,0,1
0811 - Managers in natural resources production and fishing,6,0,0,0,3,0,0,0
0821 - Managers in agriculture,0,1,1,0,1,1,1,1
0823 - Managers in aquaculture,0,0,0,0,0,0,1,0
0911 - Manufacturing managers,14,23,13,4,6,6,4,0
1111 - Financial auditors and accountants,0,0,0,0,0,0,0,1
1114 - Other financial officers,0,0,0,0,0,0,0,5
1121 - Human resources professionals,0,0,0,0,0,0,1,0
1122 - Professional occupations in business management consulting,4,6,2,5,1,5,8,12
"1123 - Professional occupations in advertising, marketing and public relations",1,0,2,0,0,0,2,5
"1211 - Supervisors, general office and administrative support workers",0,0,0,0,1,0,0,0
"1212 - Supervisors, finance and insurance office workers",0,0,0,0,0,0,0,2
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",1,0,0,0,0,1,4,5
1221 - Administrative officers,1,0,0,0,0,5,10,8
1223 - Human resources and recruitment officers,0,0,0,0,0,0,0,6
1224 - Property administrators,0,0,0,0,0,0,1,0
1225 - Purchasing agents and officers,3,1,2,0,0,1,0,1
1241 - Administrative assistants,0,0,2,0,2,2,9,13
1243 - Medical administrative assistants,0,0,0,0,0,0,0,1
1311 - Accounting technicians and bookkeepers,0,0,0,1,1,3,11,14
1422 - Data entry clerks,0,0,0,0,0,0,0,1
1431 - Accounting and related clerks,0,0,0,0,0,0,0,1
1522 - Storekeepers and partspersons,2,0,0,0,0,1,0,1
1524 - Purchasing and inventory control workers,0,0,0,0,0,0,1,1
1525 - Dispatchers,0,0,0,0,0,0,0,2
2111 - Physicists and astronomers,0,0,0,0,0,0,1,1
2112 - Chemists,0,1,0,0,0,0,2,0
2113 - Geoscientists and oceanographers,1,0,0,0,0,0,0,0
2121 - Biologists and related scientists,0,1,0,0,0,1,1,1
2131 - Civil engineers,0,2,0,0,1,0,1,0
2132 - Mechanical engineers,22,6,0,4,0,2,0,1
2133 - Electrical and electronics engineers,5,4,1,2,0,2,0,0
2134 - Chemical engineers,0,1,0,0,0,1,2,0
2141 - Industrial and manufacturing engineers,0,1,2,1,0,0,2,0
2142 - Metallurgical and materials engineers,0,1,0,0,0,0,0,0
2145 - Petroleum engineers,13,0,0,0,1,0,0,0
2147 - Computer engineers (except software engineers and designers),0,0,0,0,0,3,9,2
"2148 - Other professional engineers, n.e.c.",1,2,11,6,6,0,1,0
2154 - Land surveyors,0,12,0,1,0,1,0,0
"2161 - Mathematicians, statisticians and actuaries",0,1,0,0,0,0,0,0
2171 - Information systems analysts and consultants,28,10,5,3,9,11,15,10
2172 - Database analysts and data administrators,1,0,2,1,1,1,3,3
2173 - Software engineers and designers,2,2,5,7,7,40,33,20
2174 - Computer programmers and interactive media developers,5,1,1,16,5,34,73,17
2175 - Web designers and developers,0,0,0,2,5,2,3,5
2211 - Chemical technologists and technicians,0,0,0,1,0,1,3,0
2212 - Geological and mineral technologists and technicians,0,1,0,0,0,0,0,0
2221 - Biological technologists and technicians,0,0,1,0,0,0,0,1
2225 - Landscape and horticulture technicians and specialists,0,0,0,0,0,2,1,0
2231 - Civil engineering technologists and technicians,1,2,1,3,0,0,1,0
2232 - Mechanical engineering technologists and technicians,50,2,4,7,1,5,0,0
2233 - Industrial engineering and manufacturing technologists and technicians,1,0,0,0,0,0,0,0
2234 - Construction estimators,0,0,0,0,0,0,0,1
2241 - Electrical and electronics engineering technologists and technicians,36,4,0,2,0,1,1,1
2242 - Electronic service technicians (household and business equipment),1,0,2,0,0,0,0,0
2243 - Industrial instrument technicians and mechanics,0,0,1,1,0,0,0,0
"2244 - Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",5,9,0,1,0,0,0,1
2252 - Industrial designers,0,0,0,0,0,0,1,1
2253 - Drafting technologists and technicians,0,1,2,0,0,0,0,0
2254 - Land survey technologists and technicians,0,0,1,0,0,0,0,0
2255 - Technical occupations in geomatics and meteorology,0,1,0,0,0,0,0,0
2261 - Non-destructive testers and inspection technicians,3,0,0,0,0,0,0,0
2262 - Engineering inspectors and regulatory officers,1,0,0,0,2,0,0,0
2263 - Inspectors in public and environmental health and occupational health and safety,4,2,0,2,4,0,0,0
"2271 - Air pilots, flight engineers and flying instructors",5,0,0,0,0,0,0,0
"2273 - Deck officers, water transport",19,16,5,24,19,7,0,5
"2274 - Engineer officers, water transport",14,9,2,13,1,4,0,5
2281 - Computer network technicians,10,0,0,0,0,0,2,1
2282 - User support technicians,0,0,0,0,0,0,0,3
2283 - Information systems testing technicians,1,0,0,2,0,1,3,5
3012 - Registered nurses and registered psychiatric nurses,1,1,2,0,1,0,0,0
3111 - Specialist physicians,21,5,0,1,2,0,0,2
3112 - General practitioners and family physicians,1,2,0,0,2,1,0,0
3113 - Dentists,0,0,1,0,0,0,0,0
3114 - Veterinarians,0,0,0,0,0,1,1,0
3121 - Optometrists,0,0,0,0,0,0,1,0
3125 - Other professional occupations in health diagnosing and treating,3,0,0,1,0,2,1,0
3142 - Physiotherapists,0,0,0,0,0,0,0,2
3216 - Medical sonographers,0,3,0,0,0,0,0,0
"3223 - Dental technologists, technicians and laboratory assistants",0,0,0,0,0,1,1,1
3232 - Practitioners of natural healing,0,0,1,1,1,0,0,0
3233 - Licensed practical nurses,1,0,0,0,0,0,0,0
3234 - Paramedical occupations,0,0,0,2,0,0,0,0
3236 - Massage therapists,0,0,0,0,1,1,0,0
"3413 - Nurse aides, orderlies and patient service associates",0,0,7,0,1,1,7,12
4011 - University professors and lecturers,11,6,8,9,11,10,1,5
4021 - College and other vocational instructors,2,2,2,0,1,0,0,0
4151 - Psychologists,0,1,1,1,1,0,0,0
4163 - Business development officers and marketing researchers and consultants,0,0,0,0,1,0,0,1
"4165 - Health policy researchers, consultants and program officers",0,0,0,0,0,1,0,1
"4167 - Recreation, sports and fitness policy researchers, consultants and program officers",0,1,0,1,0,0,0,0
4214 - Early childhood educators and assistants,4,5,18,4,3,4,3,5
4411 - Home child care providers,5,10,9,5,2,9,3,7
"4412 - Home support workers, housekeepers and related occupations",10,4,2,4,4,4,1,3
5121 - Authors and writers,1,0,0,0,0,0,0,0
5122 - Editors,0,0,0,0,0,0,2,0
"5125 - Translators, terminologists and interpreters",0,0,19,0,0,0,0,0
"5131 - Producers, directors, choreographers and related occupations",2,1,1,2,0,1,0,3
5135 - Actors and comedians,5,0,0,0,0,0,0,0
5222 - Film and video camera operators,0,0,0,2,0,0,0,0
"5226 - Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",2,0,0,0,0,0,0,0
"5232 - Other performers, n.e.c.",0,0,0,1,0,0,0,0
5241 - Graphic designers and illustrators,0,0,0,0,0,0,2,0
5244 - Artisans and craftspersons,1,0,0,0,0,0,0,0
5252 - Coaches,5,2,2,2,0,0,0,0
"5254 - Program leaders and instructors in recreation, sport and fitness",1,0,0,0,0,0,0,0
6211 - Retail sales supervisors,2,3,2,1,3,7,28,36
6221 - Technical sales specialists - wholesale trade,1,0,1,1,0,2,0,0
6235 - Financial sales representatives,0,0,0,0,0,1,0,0
6311 - Food service supervisors,11,2,5,4,4,32,122,56
6312 - Executive housekeepers,0,0,0,0,1,0,2,3
"6313 - Accommodation, travel, tourism and related services supervisors",0,0,1,0,1,0,2,8
6315 - Cleaning supervisors,4,2,0,1,1,0,4,2
6316 - Other services supervisors,0,0,0,1,0,0,2,2
6321 - Chefs,6,2,0,0,0,2,5,10
6322 - Cooks,66,71,50,77,56,74,242,299
"6331 - Butchers, meat cutters and fishmongers - retail and wholesale",0,0,0,1,2,1,4,10
6332 - Bakers,0,3,2,0,2,0,2,4
6341 - Hairstylists and barbers,1,2,0,2,2,1,10,12
"6344 - Jewellers, jewellery and watch repairers and related occupations",0,0,0,0,1,0,1,0
6345 - Upholsterers,0,1,0,0,0,0,0,0
6411 - Sales and account representatives - wholesale trade (non-technical),0,0,0,0,0,0,0,1
6421 - Retail salespersons,0,0,0,0,1,0,4,17
6511 - Maîtres d'hôtel and hosts/hostesses,0,0,0,0,0,0,0,1
6513 - Food and beverage servers,0,6,0,0,0,2,0,17
6522 - Pursers and flight attendants,0,1,0,1,0,1,0,0
6525 - Hotel front desk clerks,0,0,0,0,2,0,4,8
6532 - Outdoor sport and recreational guides,0,1,0,0,0,0,0,0
6552 - Other customer and information services representatives,1,0,0,0,0,0,1,0
"6562 - Estheticians, electrologists and related occupations",2,1,3,3,1,4,6,19
6563 - Pet groomers and animal care workers,0,0,0,0,0,0,1,0
6611 - Cashiers,0,0,0,0,0,0,0,11
"6622 - Store shelf stockers, clerks and order fillers",0,0,0,0,0,0,0,2
"6711 - Food counter attendants, kitchen helpers and related support occupations",0,0,0,1,0,0,76,262
"6722 - Operators and attendants in amusement, recreation and sport",0,0,0,0,0,0,0,1
6731 - Light duty cleaners,10,9,0,0,0,2,52,102
6732 - Specialized cleaners,3,2,3,1,1,0,0,2
"6733 - Janitors, caretakers and building superintendents",0,3,0,0,0,0,0,7
"6741 - Dry cleaning, laundry and related occupations",0,1,0,3,0,0,0,0
"7202 - Contractors and supervisors, electrical trades and telecommunications occupations",0,14,1,0,1,0,0,0
"7203 - Contractors and supervisors, pipefitting trades",0,0,0,0,2,0,0,4
"7204 - Contractors and supervisors, carpentry trades",1,0,0,1,0,0,1,0
"7205 - Contractors and supervisors, other construction trades, installers, repairers and servicers",3,2,0,0,0,0,1,2
7231 - Machinists and machining and tooling inspectors,0,2,1,2,0,0,0,0
7233 - Sheet metal workers,0,0,0,0,0,0,1,0
7235 - Structural metal and platework fabricators and fitters,7,11,14,10,5,0,30,0
7237 - Welders and related machine operators,3,9,13,0,4,4,21,1
7242 - Industrial electricians,19,4,1,1,3,2,3,0
7244 - Electrical power line and cable workers,0,32,5,13,0,3,0,0
7245 - Telecommunications line and cable workers,1,1,0,19,0,0,6,0
7246 - Telecommunications installation and repair workers,0,1,0,0,0,0,0,0
7251 - Plumbers,0,0,0,1,0,0,0,0
"7252 - Steamfitters, pipefitters and sprinkler system installers",0,0,0,0,10,0,0,0
7271 - Carpenters,1,3,0,4,2,21,42,30
7272 - Cabinetmakers,2,0,1,0,0,0,0,0
7281 - Bricklayers,0,2,2,1,0,0,3,0
7282 - Concrete finishers,0,1,3,3,8,0,12,23
7283 - Tilesetters,0,0,0,0,0,0,2,0
"7284 - Plasterers, drywall installers and finishers and lathers",0,10,0,0,0,0,2,0
7291 - Roofers and shinglers,0,0,0,1,0,4,3,21
7292 - Glaziers,0,0,0,0,0,6,10,0
7294 - Painters and decorators (except interior decorators),10,1,0,0,0,1,10,2
7295 - Floor covering installers,0,2,0,0,0,0,11,5
"7301 - Contractors and supervisors, mechanic trades",2,0,1,0,0,0,0,0
"7302 - Contractors and supervisors, heavy equipment operator crews",1,0,0,0,2,0,0,0
"7305 - Supervisors, motor transport and other ground transit operators",0,0,0,0,0,0,2,0
7311 - Construction millwrights and industrial mechanics,14,0,0,0,2,0,0,0
7312 - Heavy-duty equipment mechanics,0,0,1,0,0,0,1,0
7313 - Refrigeration and air conditioning mechanics,0,1,0,0,0,0,1,1
7315 - Aircraft mechanics and aircraft inspectors,17,6,2,0,0,0,0,0
7316 - Machine fitters,0,0,0,0,0,0,0,2
"7321 - Automotive service technicians, truck and bus mechanics and mechanical repairers",0,1,0,0,1,0,6,3
7322 - Motor vehicle body repairers,3,1,2,1,0,4,7,4
7331 - Oil and solid fuel heating mechanics,0,0,0,0,0,0,3,0
7335 - Other small engine and small equipment repairers,0,0,0,0,0,1,0,0
7371 - Crane operators,7,0,0,1,1,0,1,0
"7372 - Drillers and blasters - surface mining, quarrying and construction",9,0,0,0,0,0,0,0
"7384 - Other trades and related occupations, n.e.c.",0,2,0,6,1,16,0,1
7441 - Residential and commercial installers and servicers,0,0,0,0,0,5,0,1
7445 - Other repairers and servicers,0,0,0,0,0,0,0,3
7452 - Material handlers,0,10,0,25,0,13,34,39
7511 - Transport truck drivers,27,36,127,91,21,76,77,60
7514 - Delivery and courier service drivers,0,0,0,0,0,0,1,13
7521 - Heavy equipment operators (except crane),0,11,0,6,3,0,8,11
7532 - Water transport deck and engine room crew,10,11,3,6,0,18,0,12
7611 - Construction trades helpers and labourers,0,2,1,4,3,26,95,79
7612 - Other trades helpers and labourers,2,1,0,0,0,6,6,10
7621 - Public works and maintenance labourers,0,0,0,0,0,0,0,15
"8221 - Supervisors, mining and quarrying",6,0,0,0,0,0,0,0
"8222 - Contractors and supervisors, oil and gas drilling and services",6,2,2,0,10,0,0,0
8231 - Underground production and development miners,3,0,0,0,0,0,0,0
"8232 - Oil and gas well drillers, servicers, testers and related workers",22,0,0,0,5,0,0,0
8241 - Logging machinery operators,0,0,0,0,0,0,0,10
"8252 - Agricultural service contractors, farm supervisors and specialized livestock workers",8,26,28,23,23,23,20,26
8411 - Underground mine service and support workers,9,0,0,0,0,0,0,0
8412 - Oil and gas well drilling and related workers and services operators,4,0,0,0,0,0,0,0
8422 - Silviculture and forestry workers,0,0,0,0,0,0,0,4
8431 - General farm workers,"1,370","1,598","2,521","1,753","2,071","2,223","2,607","2,586"
8432 - Nursery and greenhouse workers,188,206,150,137,189,107,245,246
8441 - Fishing vessel deckhands,0,0,0,0,0,0,2,1
8611 - Harvesting labourers,49,58,19,52,68,59,42,58
8612 - Landscaping and grounds maintenance labourers,0,0,0,0,0,0,0,8
"9212 - Supervisors, petroleum, gas and chemical processing and utilities",0,0,1,0,0,0,0,0
"9213 - Supervisors, food, beverage and associated products processing",0,0,0,0,0,0,0,7
"9214 - Supervisors, plastic and rubber products manufacturing",1,0,0,0,0,0,0,0
"9217 - Supervisors, textile, fabric, fur and leather products processing and manufacturing",0,0,0,0,1,0,0,0
"9226 - Supervisors, other mechanical and metal products manufacturing",5,0,0,0,0,0,0,0
"9227 - Supervisors, other products manufacturing and assembly",0,0,0,0,0,0,1,0
"9232 - Petroleum, gas and chemical process operators",0,6,0,0,0,0,0,0
9241 - Power engineers and power systems operators,0,0,5,0,0,0,0,0
9417 - Machining tool operators,0,0,0,0,0,0,2,0
9422 - Plastics processing machine operators,0,0,0,0,0,0,0,3
9437 - Woodworking machine operators,0,0,0,0,0,6,0,0
"9442 - Weavers, knitters and other fabric making occupations",0,0,0,0,0,0,0,1
9446 - Industrial sewing machine operators,0,0,0,0,0,0,2,2
"9461 - Process control and machine operators, food, beverage and associated products processing",0,0,0,0,0,40,0,8
9463 - Fish and seafood plant workers,122,277,198,299,488,930,"1,092",503
"9527 - Machine operators and inspectors, electrical apparatus manufacturing",0,0,0,0,0,6,0,1
9531 - Boat assemblers and inspectors,2,2,4,3,0,0,0,4
9534 - Furniture finishers and refinishers,0,0,0,0,0,0,0,3
"9535 - Plastic products assemblers, finishers and inspectors",2,0,0,3,0,8,10,4
"9536 - Industrial painters, coaters and metal finishing process operators",8,2,0,4,0,0,20,0
"9537 - Other products assemblers, finishers and inspectors",0,0,0,0,0,0,1,0
9612 - Labourers in metal fabrication,1,0,0,0,0,0,0,0
"9614 - Labourers in wood, pulp and paper processing",0,0,0,0,0,0,2,0
"9617 - Labourers in food, beverage and associated products processing",0,0,0,6,31,48,102,85
9618 - Labourers in fish and seafood processing,35,37,51,67,80,155,180,314
"9619 - Other labourers in processing, manufacturing and utilities",0,0,0,0,0,4,12,69
Nova Scotia - Total,"2,456","2,703","3,394","2,823","3,259","4,161","5,593","5,437"
New Brunswick,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
"0013 - Senior managers - financial, communications and other business services",0,0,0,1,1,3,1,1
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",0,0,0,0,0,2,0,1
"0016 - Senior managers - construction, transportation, production and utilities",4,1,0,0,4,2,6,3
0114 - Other administrative services managers,0,0,0,0,0,0,0,2
"0121 - Insurance, real estate and financial brokerage managers",0,0,0,0,0,0,1,0
"0124 - Advertising, marketing and public relations managers",0,0,0,0,0,0,1,2
0125 - Other business services managers,0,0,0,0,0,0,1,0
0211 - Engineering managers,1,1,0,3,0,1,0,2
0213 - Computer and information systems managers,0,2,1,0,2,0,2,1
"0423 - Managers in social, community and correctional services",0,1,0,0,0,0,0,0
0433 - Commissioned officers of the Canadian Forces,0,1,0,0,0,0,0,0
0621 - Retail and wholesale trade managers,0,0,0,1,1,1,2,1
0631 - Restaurant and food service managers,1,0,0,0,3,0,12,18
0632 - Accommodation service managers,0,0,1,1,0,0,4,0
"0651 - Managers in customer and personal services, n.e.c.",0,0,0,0,0,1,0,0
0711 - Construction managers,2,0,1,0,0,1,0,0
0714 - Facility operation and maintenance managers,1,3,0,0,0,1,0,0
0731 - Managers in transportation,1,0,1,0,1,0,0,1
0821 - Managers in agriculture,0,0,0,0,1,1,1,0
0911 - Manufacturing managers,0,0,0,0,0,0,1,0
1111 - Financial auditors and accountants,0,0,0,0,0,0,1,0
1112 - Financial and investment analysts,0,0,0,0,0,0,1,0
1122 - Professional occupations in business management consulting,9,1,1,1,0,0,1,0
"1123 - Professional occupations in advertising, marketing and public relations",0,0,0,0,0,1,4,2
"1211 - Supervisors, general office and administrative support workers",0,0,0,0,0,0,0,1
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",0,1,1,3,0,0,4,0
1221 - Administrative officers,1,0,0,1,2,2,4,5
1225 - Purchasing agents and officers,0,0,0,0,0,1,0,0
1241 - Administrative assistants,0,0,1,1,1,3,13,6
1311 - Accounting technicians and bookkeepers,1,0,1,0,2,3,9,8
1411 - General office support workers,0,0,0,0,0,1,0,0
1521 - Shippers and receivers,0,0,0,0,0,0,0,1
1523 - Production logistics co-ordinators,0,0,0,0,0,0,1,0
1524 - Purchasing and inventory control workers,0,0,0,0,0,0,0,1
1525 - Dispatchers,0,0,0,0,0,0,0,1
2111 - Physicists and astronomers,0,0,0,0,0,1,0,0
2112 - Chemists,0,0,0,0,1,0,0,0
2121 - Biologists and related scientists,2,0,0,0,0,0,0,0
"2123 - Agricultural representatives, consultants and specialists",1,0,0,0,0,0,0,0
2131 - Civil engineers,4,2,0,0,0,0,0,1
2133 - Electrical and electronics engineers,1,0,0,0,0,0,0,0
2147 - Computer engineers (except software engineers and designers),1,0,0,0,0,0,0,0
2152 - Landscape architects,1,0,0,0,0,0,0,0
2153 - Urban and land use planners,0,0,0,0,0,0,0,1
2154 - Land surveyors,0,6,0,0,0,0,0,0
"2161 - Mathematicians, statisticians and actuaries",0,1,0,0,0,0,0,0
2171 - Information systems analysts and consultants,2,1,1,3,3,2,5,1
2172 - Database analysts and data administrators,0,0,0,1,0,1,0,1
2173 - Software engineers and designers,0,0,0,8,0,3,8,3
2174 - Computer programmers and interactive media developers,1,1,0,1,3,3,8,5
2175 - Web designers and developers,0,0,1,0,0,1,3,5
2212 - Geological and mineral technologists and technicians,0,1,0,0,0,0,0,0
2225 - Landscape and horticulture technicians and specialists,2,0,0,0,0,3,1,6
2231 - Civil engineering technologists and technicians,1,2,2,2,2,0,2,2
2232 - Mechanical engineering technologists and technicians,3,2,0,2,0,0,0,0
2233 - Industrial engineering and manufacturing technologists and technicians,0,0,7,3,1,0,0,0
2234 - Construction estimators,0,1,0,0,0,0,0,0
2241 - Electrical and electronics engineering technologists and technicians,1,0,0,1,0,0,1,0
2242 - Electronic service technicians (household and business equipment),1,0,0,0,0,0,0,1
2243 - Industrial instrument technicians and mechanics,0,2,3,5,0,0,1,9
2251 - Architectural technologists and technicians,0,0,0,0,0,0,2,0
2254 - Land survey technologists and technicians,0,0,0,0,0,2,2,0
2255 - Technical occupations in geomatics and meteorology,16,0,0,0,0,0,0,0
2261 - Non-destructive testers and inspection technicians,3,0,1,0,0,1,1,0
2263 - Inspectors in public and environmental health and occupational health and safety,4,1,0,0,0,0,0,0
"2271 - Air pilots, flight engineers and flying instructors",2,0,0,0,0,0,2,2
"2273 - Deck officers, water transport",47,22,16,5,4,8,8,5
"2274 - Engineer officers, water transport",50,31,11,3,5,4,1,1
2281 - Computer network technicians,0,0,1,0,0,0,1,0
2282 - User support technicians,0,0,0,0,0,0,1,2
3012 - Registered nurses and registered psychiatric nurses,0,0,0,0,0,0,0,5
3111 - Specialist physicians,3,7,3,8,3,7,13,9
3112 - General practitioners and family physicians,4,4,2,0,1,2,4,1
3113 - Dentists,1,0,0,0,0,0,0,0
3114 - Veterinarians,0,0,0,0,0,2,2,1
3122 - Chiropractors,1,0,0,0,0,0,0,0
3142 - Physiotherapists,0,1,0,0,0,0,0,0
3219 - Other medical technologists and technicians (except dental health),0,0,0,0,0,0,0,1
